GOOGLE.COM

                         MX     aspmx.l.google.com
ghs4                     A      172.217.5.115
ghs46                    A      172.217.7.19
ghs6                     AAAA   2607:f8b0:4006:810::2013
gjm                      CNAME  www3.l.google.com
gmail-smtp.l             A      172.217.195.109
google-browser.svc-1     CNAME  www3.l.google.com
googlecn-lopri.l         AAAA   2607:f8b0:4006:812::2003
googlegotamediase.feedproxy.ghs  A      172.217.6.51
googlemail-pop.l         AAAA   2607:f8b0:400d:c0e::10
googlewishtv.feedproxy.ghs  A      172.217.0.51
groups.l                 A      74.125.198.100
groups.l                 A      74.125.198.102
groups.l                 A      74.125.198.138
groups.l                 A      173.194.68.113
groups.l                 AAAA   2607:f8b0:400e:c09::71
groups.l                 AAAA   2607:f8b0:400e:c09::65
growth-pa.clients6       A      172.217.12.170
growth-pa.clients6       AAAA   2607:f8b0:4006:804::200a
gstaticadssl.l           A      172.217.0.35
gstaticadssl.l           AAAA   2607:f8b0:4005:807::2003
hbtasx.feedproxy.ghs     A      172.217.164.115
hg8d5c.feedproxy.ghs     AAAA   2607:f8b0:4006:810::2013
history.l                AAAA   2607:f8b0:400d:c0d::8a
home                     A      172.217.3.110
hpntxf.feedproxy.ghs     AAAA   2607:f8b0:4005:809::2013
hscottlowegmail.feedproxy.ghs  A      172.217.14.115
https.plus               CNAME  wildcard-talkgadget.l.google.com
hubhubiquistnet.feedproxy.ghs  A      172.217.6.211
hubhubiquistnet.feedproxy.ghs  A      172.217.164.115
hwakefieyahooca.feedproxy.ghs  A      172.217.10.51
i7den2.feedproxy.ghs     A      172.217.11.19
ia1srn.feedproxy.ghs     AAAA   2607:f8b0:4006:818::2013
images-partners          A      172.217.10.36
images.l                 A      74.125.28.113
io25k.feedproxy.ghs      A      172.217.5.211
ipv6.l                   AAAA   2607:f8b0:4005:804::200e
ixoyw9.feedproxy.ghs     A      172.217.10.19
ixoyw9.feedproxy.ghs     AAAA   2607:f8b0:4006:802::2013
ixq4gy.feedproxy.ghs     A      216.58.195.83
j3l3l7.feedproxy.ghs     A      216.58.194.211
j9u6gi.feedproxy.ghs     A      172.217.6.211
jamboard                 A      172.217.6.46
jamboard                 A      172.217.10.78
jamboard                 AAAA   2607:f8b0:4005:809::200e
jasonit.svc-1            CNAME  www3.l.google.com
jigsaw                   A      216.58.194.174
jigsaw                   AAAA   2607:f8b0:4006:811::200e
jobs                     CNAME  www3.l.google.com
jscq63.feedproxy.ghs     A      172.217.5.115
jscq63.feedproxy.ghs     A      172.217.10.243
jsq2ii.feedproxy.ghs     A      172.217.14.115
k095h0.feedproxy.ghs     AAAA   2607:f8b0:4006:810::2013
kcknightgmail.feedproxy.ghs  AAAA   2607:f8b0:4006:818::2013
keep                     A      172.217.11.46
keep                     A      172.217.6.78
khms.l                   AAAA   2607:f8b0:4006:800::200e
large-uploads.l          A      172.217.12.175
